kabul;34.516667;69.183333
tirana;41.316667;19.816667
algiers;36.750000;3.050000
andorra la vella;42.500000;1.516667
luanda;-8.833333;13.216667
saint john’s;17.116667;-61.850000
buenos aires;-34.583333;-58.666667
yerevan;40.166667;44.500000
canberra;-35.266667;149.133333
vienna;48.200000;16.366667
baku;40.383333;49.866667
nassau;25.083333;-77.350000
manama;26.233333;50.566667
dhaka;23.716667;90.400000
bridgetown;13.100000;-59.616667
minsk;53.900000;27.566667
brussels;50.833333;4.333333
belmopan;17.250000;-88.766667
porto-novo;6.483333;2.616667
thimphu;27.466667;89.633333
la paz;-16.500000;-68.150000
sarajevo;43.866667;18.416667
gaborone;-24.633333;25.900000
brasilia;-15.783333;-47.916667
bandar seri begawan;4.883333;114.933333
sofia;42.683333;23.316667
ouagadougou;12.366667;-1.516667
gitega;-3.426400;29.930800
phnom penh;11.550000;104.916667
yaounde;3.866667;11.516667
ottawa;45.416667;-75.700000
praia;14.916667;-23.516667
george town;19.300000;-81.383333
bangui;4.366667;18.583333
n’djamena;12.100000;15.033333
santiago;-33.450000;-70.666667
beijing;39.916667;116.383333
bogota;4.600000;-74.083333
moroni;-11.700000;43.233333
san jose;9.933333;-84.083333
yamoussoukro;6.816667;-5.266667
zagreb;45.800000;16.000000
havana;23.116667;-82.350000
nicosia;35.166667;33.366667
prague;50.083333;14.466667
kinshasa;-4.316667;15.300000
copenhagen;55.666667;12.583333
djibouti;11.583333;43.150000
roseau;15.300000;-61.400000
santo domingo;18.466667;-69.900000
quito;-0.216667;-78.500000
cairo;30.050000;31.250000
san salvador;13.700000;-89.200000
malabo;3.750000;8.783333
asmara;15.333333;38.933333
tallinn;59.433333;24.716667
addis ababa;9.033333;38.700000
palikir;6.916667;158.150000
suva;-18.133333;178.416667
helsinki;60.166667;24.933333
paris;48.866667;2.333333
libreville;0.383333;9.450000
tbilisi;41.683333;44.833333
berlin;52.516667;13.400000
accra;5.550000;-0.216667
athens;37.983333;23.733333
saint george’s;12.050000;-61.750000
guatemala;12.050000;-61.750000
conakry;9.500000;-13.700000
bissau;11.850000;-15.583333
georgetown;6.800000;-58.150000
